text,price
"EZDIY-FAB Soporte GPU para tarjeta gráfica soporte GPU para soporte de tarjeta de vídeo, soporte de soporte para tarjetas de vídeo y soporte de funda RX6700, RTX3090-309EZ-Blanco",19.30
Nvidia PNY Quadro NVS 290 VCQ290NVS-PCIE16 Tarjeta de Pantalla gráfica PCI-Express x16 de 256 GB - Kit OEM,64.99
"ASUS TUF Gaming NVIDIA GeForce RTX 3060 V2 OC Edition - Tarjeta gráfica (PCIe 4.0, 12 GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Doble rodamiento de Bolas, Certificación Militar, GPU Tweak II), Blanco",893.77
Módulo MPX con Radeon Pro W6800X Duo,4.766.21
nVIDIA NVS 310 - Tarjeta gráfica de 1 GB DDR3,4.766.21
"MSI GeForce GTX 1660 Ti Ventus XS 6G OC 6 GB GDDR6 - Tarjetas gráficas (GeForce GTX 1660 Ti, 6 GB, GDDR6, 192 bit, 7680 x 4320 Pixels, PCI Express x16 3.0)",894.45
"MSI Tarjeta gráfica NVIDIA GEFORCE GT 1030 2GHD4 LP OC 'GDDR4 de 2 GB, 1518 MHz, diseño de perfil bajo, DisplayPort, HDMI, sistema de refrigeración pasivo sin ventilador",110.49
Gigabyte Technology Radeon RX 6600 Eagle - Tarjeta gráfica (8 GB),110.49
"ASUS ROG Strix LC AMD Radeon RX 6900 XT Top Edition - Tarjeta gráfica Gaming (AMD RDNA 2,  PCIe 4.0, 16 GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Placa fría, radiador de 240 mm, Tubos de 600 mm)",2.325.41
"Tarjeta gráfica Profesional para Juegos HD7670 1GB DDR5 128 bit, Tarjeta gráfica portátil para computadora de bajo Consumo",109.99
"Sapphire GPRO 4300 - Tarjeta gráfica (4 GB, GDDR5, PCI-E, Quad miniDP, UEFI 128 bit, 1 Ranura Active)",250.80
"Palit Microsystems, Inc. GeForce RTX 3080 Ti GamingPro 12 GB GDDR6X LHR Tarjeta gráfica, 10240 núcleo, 1365 MHz GPU, 1665 MHz Boost, NVIDIA Ampere, HDMI, DisplayPort x 3, NED308T019KB-132AA",2.010.78
"ASUS Phoenix NVIDIA GeForce RTX 3060 V2 - Tarjeta gráfica Gaming (PCIe 4.0, 12 GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Ventiladores Axial-Tech, Placa Trasera Protectora, Doble rodamiento de Bolas)",755.45
Gigabyte GeForce RTX 3060 Ti Eagle OC 8G (Rev. 2.0) NVIDIA 8 GB GDDR6(NO VALIDO para MINERIA),924.58
